Participant;SESSION;TRIAL_ORDER;Block;No. of edges;Targets;Crossed;Correct_ans;Response time;TOTAL_SCORE
1;1;1;1;3;mixed;uncrossed;1;22,6450363;0,475
1;1;2;1;3;indirect;crossed;0;22,6788184;0,475
1;1;3;1;4;indirect;uncrossed;0;20,8486023;0,475
1;1;4;1;5;direct;uncrossed;1;22,6279824;0,475
1;1;5;1;4;indirect;crossed;1;21,4933192;0,475
1;1;6;1;4;mixed;uncrossed;0;22,2891558;0,475
1;1;7;1;5;mixed;uncrossed;0;22,5591406;0,475
1;1;8;1;4;mixed;crossed;0;14,7126393;0,475
1;1;9;1;5;indirect;uncrossed;0;22,4922862;0,475
1;1;10;1;5;direct;crossed;0;23,6468721;0,475
1;1;11;1;4;direct;uncrossed;1;14,8478592;0,475
1;1;12;1;4;direct;crossed;1;22,3056963;0,475
1;1;13;1;3;mixed;crossed;0;23,6455456;0,475
1;1;14;1;3;direct;uncrossed;1;9,9497984;0,475
1;1;15;1;3;indirect;uncrossed;1;6,6271886;0,475
1;1;16;1;3;direct;crossed;1;22,6967643;0,475
1;1;17;1;5;mixed;crossed;1;21,1025819;0,475
1;1;18;2;4;indirect;uncrossed;0;21,9841959;0,475
1;1;19;2;5;mixed;crossed;1;21,3223368;0,475
1;1;20;2;4;direct;crossed;1;13,8141532;0,475
1;1;21;2;4;direct;uncrossed;0;15,4756626;0,475
1;1;22;2;3;indirect;uncrossed;1;8,3402984;0,475
1;1;23;2;4;mixed;crossed;0;;0,475
1;1;24;2;3;indirect;crossed;0;21,2213745;0,475
1;1;25;2;4;indirect;crossed;1;21,0329671;0,475
1;1;26;2;5;mixed;uncrossed;1;17,2210073;0,475
1;1;27;2;3;mixed;uncrossed;1;15,9162989;0,475
1;1;28;2;5;direct;uncrossed;0;10,3563758;0,475
1;1;29;2;5;indirect;crossed;0;21,8143308;0,475
1;1;30;2;4;mixed;uncrossed;0;20,8992353;0,475
1;1;31;2;3;direct;uncrossed;0;12,374168;0,475
1;1;32;2;3;direct;crossed;1;21,8487787;0,475
1;1;33;2;5;direct;crossed;0;15,3061693;0,475
1;1;34;2;5;indirect;uncrossed;0;17,0173929;0,475
1;1;35;2;5;indirect;crossed;0;22,034648;0,475
1;1;36;2;3;mixed;crossed;0;21,7470089;0,475
1;1;37;3;5;direct;crossed;0;13,3905375;0,475
1;1;38;3;3;direct;crossed;1;11,0361156;0,475
1;1;39;3;3;mixed;uncrossed;1;18,8134534;0,475
1;1;40;3;3;indirect;uncrossed;1;6,510022;0,475
1;1;41;3;3;direct;uncrossed;1;9,1173648;0,475
1;1;42;3;5;direct;uncrossed;1;15,2396408;0,475
1;1;43;3;3;mixed;crossed;0;12,8639847;0,475
1;1;44;3;4;direct;crossed;1;23,7126611;0,475
1;1;45;3;5;mixed;uncrossed;1;20,644868;0,475
1;1;46;3;4;direct;uncrossed;1;13,1021803;0,475
1;1;47;3;5;mixed;crossed;0;22,830396;0,475
1;1;48;3;3;indirect;crossed;1;15,5436341;0,475
1;1;49;3;4;mixed;crossed;0;13,3735105;0,475
1;1;50;3;4;indirect;uncrossed;1;7,6111751;0,475
1;1;51;3;5;indirect;crossed;0;21,2041224;0,475
1;1;52;3;4;indirect;crossed;0;11,7973741;0,475
1;1;53;3;5;indirect;uncrossed;0;18,5941705;0,475
1;1;54;3;4;mixed;uncrossed;1;19,8823183;0,475
1;2;1;1;5;mixed;crossed;0;10,7806707;0,475
1;2;2;1;3;direct;uncrossed;1;8,6455558;0,475
1;2;3;1;4;indirect;uncrossed;1;16,7807406;0,475
1;2;4;1;4;mixed;uncrossed;1;8,7973699;0,475
1;2;5;1;3;mixed;uncrossed;1;4,8977969;0,475
1;2;6;1;4;direct;uncrossed;0;13,3736338;0,475
1;2;7;1;3;indirect;uncrossed;1;19,9172318;0,475
1;2;8;1;4;direct;crossed;0;;0,475
1;2;9;1;3;direct;crossed;0;8,0024291;0,475
1;2;10;1;5;direct;uncrossed;0;;0,475
1;2;11;1;3;mixed;crossed;0;17,119671;0,475
1;2;12;1;3;indirect;crossed;0;;0,475
1;2;13;1;5;mixed;uncrossed;1;23,0036157;0,475
1;2;14;1;4;mixed;crossed;0;17,3206841;0,475
1;2;15;1;4;indirect;crossed;0;18,5265127;0,475
1;2;16;1;5;indirect;uncrossed;0;;0,475
1;2;17;1;5;direct;crossed;0;11,5447051;0,475
1;2;18;2;3;mixed;uncrossed;1;12,3404031;0,475
1;2;19;2;4;mixed;uncrossed;0;13,164337;0,475
1;2;20;2;5;indirect;uncrossed;0;;0,475
1;2;21;2;5;mixed;crossed;0;;0,475
1;2;22;2;3;direct;crossed;1;7,0852685;0,475
1;2;23;2;5;indirect;crossed;0;5,3054432;0,475
1;2;24;2;5;direct;crossed;0;22,8484751;0,475
1;2;25;2;4;direct;crossed;1;21,6100086;0,475
