GENDER;AGE;RAPM_PAP;ANALOGIES_PAP;CFT_PAP;CFT_COMP;RAPM_COMP;ANALOGIES_COMP;RAPM;ANALOGIES;CFT;FLUID_REASON_FACTOR_SCORES;MONITORING;MATCHING;COMPARING;MC;SSPAN;CSPAN;RT_RAPM;RT_ANALOGIES;RT_CFT;RT_MONIT;RT_MATCH;RT_COMPAR
F;27;0,61;0,5;0,78;0,39;0,61;0,39;0,61;0,44;0,58;-1,02;0,74;0,41;0,5;0,57;0,86;0,48;56,5;35,38;33,63;9,41;14,33;12,28
F;24;0,56;0,28;0,89;0,39;0,44;0,67;0,5;0,47;0,64;-1,05;0,8;0,5;0,52;0,33;0,73;0,24;62,51;36,71;31,53;10,32;12,83;9,69
F;25;0,94;0,94;0,83;0,89;1;1;0,97;0,97;0,86;2,2;1;0,89;0,96;0,59;0,96;0,86;58,48;32,31;33,89;6,65;12,69;9,49
M;24;0,94;0,72;0,83;0,78;0,89;0,72;0,92;0,72;0,81;1,24;0,84;0,84;0,92;0,96;0,96;0,51;59,97;46,9;22,79;7,9;13,89;10,88
F;24;0,94;0,83;0,83;0,72;0,83;0,67;0,89;0,75;0,78;1,15;0,9;0,82;0,84;0,64;0,96;0,86;65,23;45,78;43,93;;10,61;9,84
F;19;0,67;0,89;0,94;0,56;0,78;0,94;0,72;0,92;0,75;1,08;0,9;0,7;0,92;0,33;0,72;0,8;64,35;36,49;29,61;8,08;13,76;9,86
M;20;0,94;0,89;0,94;0,72;0,72;0,83;0,83;0,86;0,83;1,44;0,9;0,93;0,88;0,73;1;0,81;64,62;39,88;48,87;9,66;12,75;9,85
F;22;0,78;0,78;0,89;0,72;0,56;0,72;0,67;0,75;0,81;0,67;0,8;0,66;0,84;0,54;0,9;0,55;65,46;48,57;35,23;8,67;13,01;11,88
F;25;0,72;0,72;0,89;0,67;0,61;0,78;0,67;0,75;0,78;0,58;0,86;0,84;0,8;0,54;0,87;0,6;54,02;42,67;32,64;10,67;14,02;11,14
F;21;0,56;0,72;0,78;0,56;0,72;0,67;0,64;0,69;0,67;0,01;0,92;0,41;0,96;0,71;0,79;0,69;30;37,55;14,05;6,4;13,83;9,71
F;31;0,56;0,5;0,61;0,5;0,39;0,56;0,47;0,53;0,56;-1,2;0,66;0,55;0,62;0,52;0,7;0,54;37,41;29,7;16,07;8,89;12,69;10,83
F;29;0,39;0,67;0,67;0,5;0,72;0,67;0,56;0,67;0,58;-0,52;0,66;0,52;0,7;0,5;0,85;0,73;65,47;46,1;43,59;10,1;14,79;13,13
M;27;0,5;0,67;0,39;0,56;0,5;0,33;0,5;0,5;0,47;-1,47;0,8;0,36;0,88;0,45;0,68;0,27;65,11;45,91;46,73;10,58;15,86;11,9
M;22;0,89;0,83;0,78;0,72;0,83;0,72;0,86;0,78;0,75;1,07;0,96;0,75;0,88;0,74;1;0,87;65,24;48,07;43,13;9,21;13,49;10,14
F;31;0,56;0,39;0,17;0,67;0,56;0,5;0,56;0,44;0,42;-1,63;0,74;0,43;0,6;0,4;0,6;0,45;53,98;43,56;31,02;8,02;10,97;6,24
F;31;0,5;0,72;0,33;0,56;0,56;0,67;0,53;0,69;0,44;-0,97;0,86;0,59;0,74;0,45;0,82;0,48;55,94;40,92;22,49;8,62;12,42;9,02
M;25;0,61;0,78;0,72;0,72;0,67;0,72;0,64;0,75;0,72;0,32;0,96;0,75;0,82;0,3;0,8;0,62;65,58;48,44;50,53;7,92;13,31;10,4
M;32;0,61;0,72;0,17;0,67;0,5;0,56;0,56;0,64;0,42;-1,08;0,7;0,45;0,46;0,29;0,71;0,51;41,04;35,6;32,06;9,82;13,54;10,78
M;23;0,72;0,72;0,67;0,56;0,78;0,67;0,75;0,69;0,61;0,11;0,88;0,57;0,34;0,44;0,83;0,76;63,95;45,61;43,51;8,88;12,7;9,47
F;23;0,56;0,67;0,67;0,61;0,44;0,72;0,5;0,69;0,64;-0,45;0,86;0,59;0,84;0,51;0,69;0,52;62,05;47,16;33,96;7,32;13,01;9,98
F;23;0,83;0,83;0,5;0,56;0,67;0,56;0,75;0,69;0,53;-0,12;0,88;0,45;0,8;0,64;0,92;0,64;51,94;29,35;24,74;8,91;13,15;10,75
F;21;0,67;0,83;0,83;0,67;0,67;0,94;0,67;0,89;0,75;0,87;0,82;0,75;0,94;0,42;0,84;0,59;54,84;35,75;26,63;8,22;11,9;10,24
M;26;0,78;0,89;0,61;0,44;0,39;0,61;0,58;0,75;0,53;-0,4;0,78;0,7;0,9;0,32;0,87;0,67;31,52;26,87;17,48;7,65;11,39;9,71
M;19;0,61;0,72;0,67;0,72;0,5;0,56;0,56;0,64;0,69;-0,28;0,78;0,66;0,72;0,72;0,77;0,63;39,54;28,02;26,05;10,52;13,81;10,69
M;18;0,83;0,5;0,56;0,44;0,39;0,5;0,61;0,5;0,5;-1,1;0,74;0,55;0,42;0,26;0,93;0,58;34,61;24,68;21,94;10,5;12,61;8,5
F;25;0,78;0,83;0,67;0,67;0,72;0,67;0,75;0,75;0,67;0,46;0,76;0,68;0,44;0,28;0,76;0,59;60,38;33,17;31,68;6,34;13,24;10,25
M;32;0,67;0,94;0,72;0,72;0,72;0,83;0,69;0,89;0,72;0,83;0,86;0,82;0,84;0,52;0,79;0,43;61,64;47,09;34;8,4;11,54;10,41
F;26;0,5;0,44;0,44;0,56;0,56;0,28;0,53;0,36;0,5;-1,69;0,62;0,36;0,34;0,53;0,66;0,33;39,61;36,04;29,6;;14,36;11,71
F;27;0,67;0,89;0,72;0,83;0,89;0,89;0,78;0,89;0,78;1,25;0,82;0,7;0,82;0,56;0,79;0,59;62,86;42,77;33,5;10,43;15,37;11,46
F;22;0,44;0,33;0,56;0,61;0,61;0,83;0,53;0,58;0,58;-0,85;0,64;0,59;0,66;0,56;0,81;0,53;34,38;22,43;19,53;7,02;12,43;10,88
M;23;0,72;0,39;0,72;0,61;0,61;0,89;0,67;0,64;0,67;-0,05;0,77;0,68;0,66;0,8;0,98;0,43;65,42;42,84;54,08;;15;12,68
F;21;0,5;0,78;0,89;0,61;0,56;0,89;0,53;0,83;0,75;0,34;0,9;0,73;0,88;0,67;0,82;0,69;57,25;43,43;32,43;10,01;13,43;11,35
F;21;0,72;0,78;0,72;0,67;0,56;0,61;0,64;0,69;0,69;0,07;0,84;0,89;0,88;0,56;0,9;0,62;41,92;35,04;26,29;;11,9;11,12
M;21;0,78;0,83;0,78;0,67;0,61;0,83;0,69;0,83;0,72;0,67;0,96;0,61;0,98;0,54;0,96;0,46;62,09;39,33;42,35;8,24;14,15;9,62
F;31;0,28;0,5;0,39;0,17;0,33;0,61;0,31;0,56;0,28;-2,37;0,3;0,43;0,3;0,46;0,69;0,21;34,89;30,38;22,12;9,24;11,47;9,22
M;23;0,78;0,61;0,56;0,67;0,78;0,67;0,78;0,64;0,61;0,06;0,86;0,7;0,58;0,25;0,8;0,63;58,77;36,46;41,4;9,33;14,3;12,84
F;20;0,78;0,78;0,72;0,72;1;0,78;0,89;0,78;0,72;1,05;0,8;0,68;0,76;0,48;0,81;0,39;53,15;45,78;45,56;11,97;16,16;13,04
F;22;0,67;0,78;0,78;0,67;0,78;0,67;0,72;0,72;0,72;0,45;0,74;0,64;0,52;0,49;0,64;0,61;58,15;44,35;28,95;7,87;13,43;10,62
M;19;0,78;0,94;0,94;0,78;0,72;0,83;0,75;0,89;0,86;1,41;0,9;0,84;0,82;0,67;0,85;0,77;59,23;31,55;31,58;7,68;10,34;11,28
F;23;0,67;0,33;0,72;0,72;0,56;0,67;0,61;0,5;0,72;-0,44;0,72;0,57;0,74;0,32;0,72;0,45;63,76;29,94;47,85;8,74;13,45;11,96
F;20;0,72;0,89;0,56;0,61;0,67;0,67;0,69;0,78;0,58;0,12;0,68;0,68;0,72;0,72;0,9;0,78;47,4;43,03;27,37;6,72;12,09;9,23
F;24;0,67;0,89;0,72;0,56;0,83;0,83;0,75;0,86;0,64;0,67;0,8;0,73;0,88;0,54;0,72;0,55;60,05;39,64;44,04;9,13;13,74;9,66
M;27;0,61;0,83;0,44;0,39;0,67;0,78;0,64;0,81;0,42;-0,41;0,74;0,68;0,58;0,46;0,85;0,5;57,45;45,2;25,03;10,17;15,19;12,73
M;29;0,61;0,72;0,56;0,56;0,72;0,67;0,67;0,69;0,56;-0,24;0,9;0,68;0,92;0,82;0,91;0,71;37,13;41,67;36,7;7,37;14,38;11,51
F;24;0,78;0,94;0,83;0,83;0,83;0,94;0,81;0,94;0,83;1,61;0,86;0,77;0,88;0,39;0,77;0,76;64,72;47,36;42,27;10,43;16,11;11,52
M;21;0,67;0,83;0,61;0,83;0,5;0,67;0,58;0,75;0,72;0,16;0,8;0,84;0,9;0,66;0,98;0,73;63,9;36,95;27,62;8,83;13,21;9,68
M;20;0,78;0,94;0,83;0,83;0,78;1;0,78;0,97;0,83;1,62;0,86;0,89;0,9;0,75;0,92;0,97;60,12;46,07;42,22;10,41;13,17;12,33
M;28;0,67;0,67;0,72;0,72;0,61;0,72;0,64;0,69;0,72;0,16;0,78;0,7;0,48;0,2;0,82;0,61;65,4;46,89;33,91;11,64;16,24;13,69
F;25;0,61;0,67;0,61;0,44;0,33;0,67;0,47;0,67;0,53;-0,91;0,86;0,39;0,52;0,41;0,59;0,7;44,33;36,5;16,24;7,82;11,11;11,24
F;22;0,61;0,61;0,56;0,56;0,56;0,78;0,58;0,69;0,56;-0,48;0,76;0,3;0,66;0,32;0,86;0,74;64,56;46,16;23,14;;14,25;11,84
M;22;0,67;0,5;0,5;0,67;0,61;0,67;0,64;0,58;0,58;-0,56;0,82;0,59;0,7;0,58;0,88;0,35;65,49;48,44;48,96;9,23;16,17;12,68
F;23;0,83;0,83;0,83;0,61;0,83;0,78;0,83;0,81;0,72;0,98;0,86;0,73;0,8;0,39;0,97;0,62;37,53;30,77;26,35;8,47;13,23;11,54
F;24;0,5;0,56;0,44;0,61;0,5;0,61;0,5;0,58;0,53;-1,08;0,74;0,43;0,7;0,44;0,75;0,65;38,87;40,57;21,59;;13,06;10,63
M;22;0,5;0,72;0,67;0,44;0,56;0,67;0,53;0,69;0,56;-0,61;0,82;0,61;0,76;0,34;0,66;0,54;65,53;48,24;49,15;10,69;17,5;12,18
F;22;0,83;0,72;0,83;0,72;0,67;0,83;0,75;0,78;0,78;0,87;1;0,98;0,96;0,7;0,92;0,72;64,41;48,2;41,81;8,26;11,22;8,47
F;20;0,67;0,89;0,83;0,56;0,72;0,78;0,69;0,83;0,69;0,58;0,92;0,68;0,9;0,56;0,63;0,71;62,39;44,09;33,59;7,94;13,67;9,05
F;18;0,89;0,78;0,67;0,72;0,72;0,72;0,81;0,75;0,69;0,67;0,83;0,66;0,68;0,52;0,79;0,7;47,74;46,1;36,38;;14,41;9,6
F;18;0,72;0,89;0,5;0,61;0,56;0,72;0,64;0,81;0,56;0,01;0,7;0,59;0,68;0,42;0,72;0,51;65,56;38,1;21,75;8,27;11,13;10,93
F;21;0,83;0,78;0,5;0,67;0,67;0,78;0,75;0,78;0,58;0,27;0,86;0,57;0,54;0,21;0,75;0,42;65,21;46,16;23,12;9,88;12,27;11,26
M;19;0,89;0,83;0,83;0,67;0,67;0,67;0,78;0,75;0,75;0,77;0,86;0,91;0,84;0,36;0,88;0,29;53,23;23,37;19,69;8,41;11,34;10,32
M;20;0,67;0,56;0,56;0,72;0,56;0,5;0,61;0,53;0,64;-0,6;0,84;0,59;0,78;0,45;0,74;0,55;62,56;41,93;38,47;9,41;17,07;12,01
M;21;0,67;0,83;0,78;0,72;0,61;0,83;0,64;0,83;0,75;0,63;0,86;0,77;0,82;0,62;0,82;0,59;27,15;27,1;16,06;9,05;11,33;10,34
M;19;0,78;0,78;0,78;0,78;0,72;0,89;0,75;0,83;0,78;1;0,9;0,8;0,84;0,53;0,92;0,84;63,38;47,15;44,75;8,59;14,01;10,6
F;23;0,61;0,67;0,67;0,61;0,44;0,67;0,53;0,67;0,64;-0,42;0,84;0,64;0,52;0,44;0,7;0,37;35,14;27,19;28,5;8,22;15,43;10,73
M;20;0,67;0,83;0,89;0,72;0,67;0,78;0,67;0,81;0,81;0,83;0,86;0,86;0,74;0,62;0,64;0,69;63,92;44,65;44,03;8,9;14,29;11,33
F;22;0,72;1;0,67;0,83;0,78;0,67;0,75;0,83;0,75;0,92;0,82;0,82;0,84;0,65;0,77;0,56;63,06;43,08;44,43;8,98;12,35;10,51
F;21;0,83;0,67;0,61;0,61;0,67;0,61;0,75;0,64;0,61;-0,02;0,9;0,73;0,9;0,5;0,78;0,53;65,34;47,82;39,94;10,08;12,73;11,27
M;23;0,83;0,78;0,78;0,72;0,89;1;0,86;0,89;0,75;1,37;0,72;0,77;0,92;0,56;0,67;0,67;44,74;33,89;27,27;10,5;10,84;11,37
M;27;0,78;0,83;0,5;0,78;0,94;0,83;0,86;0,83;0,64;0,87;0,92;0,7;0,9;0,74;1;0,86;50,51;41,07;44,02;8,55;13,16;11,39
F;27;0,61;0,78;0,78;0,72;0,61;0,78;0,61;0,78;0,75;0,41;0,8;0,73;0,76;0,37;0,79;0,52;62,44;43,1;41,23;7,9;12,02;10,48
M;27;0,72;0,89;0,61;0,44;0,67;0,78;0,69;0,83;0,53;0,1;0,82;0,75;0,7;0,51;0,89;0,71;61,85;46,85;46,28;10,02;11,67;10,84
F;24;0,22;0,67;0,39;0,44;0,5;0,39;0,36;0,53;0,42;-1,91;0,58;0,5;0,58;0,39;0,74;0,47;49,36;44,3;35,78;7,89;13,03;11,57
F;19;0,5;0,33;0,67;0,44;0,44;0,28;0,47;0,31;0,56;-1,8;0,3;0,39;0,36;0,26;0,65;0,47;63,35;42,1;45,5;8,8;13,3;12,15
M;25;0,28;0,67;0,78;0,78;0,72;0,72;0,5;0,69;0,78;-0,03;0,7;0,86;0,76;0,5;0,71;0,52;60,88;46,64;41,03;10,86;10,97;11,66
F;25;0,72;0,94;0,83;0,61;0,67;0,56;0,69;0,75;0,72;0,45;0,82;0,5;0,86;0,44;0,82;0,28;56,86;35,83;24,02;7,93;12,67;11,78
M;26;0,78;0,83;0,61;0,61;0,67;0,78;0,72;0,81;0,61;0,37;0,79;0,45;0,66;0,35;0,69;0,41;65,59;46;40,27;;15,86;10,77
M;21;0,67;0,89;0,83;0,67;0,78;0,78;0,72;0,83;0,75;0,84;0,88;0,77;0,8;0,68;0,94;0,66;64,12;39,56;43,91;7,67;14,75;11,57
F;19;0,5;0,89;0,61;0,67;0,67;0,78;0,58;0,83;0,64;0,14;0,72;0,59;0,7;0,63;0,91;0,81;64,7;41,76;45,21;8,74;13,03;9,72
F;20;0,89;0,78;0,61;0,67;0,72;0,67;0,81;0,72;0,64;0,44;0,92;0,8;0,96;0,5;0,8;0,18;35,45;39,45;18,41;8,57;12,32;9,17
F;26;0,78;0,78;0,61;0,56;0,61;0,89;0,69;0,83;0,58;0,25;0,9;0,61;0,92;0,5;0,75;0,53;58,73;40,68;21,7;10,39;15,93;11,92
M;23;0,39;0,56;0,39;0,28;0,44;0,39;0,42;0,47;0,33;-2,18;0,4;0,3;0,68;0,35;0,68;0,43;27,61;25,42;21,9;8,07;11,48;10,64
M;24;0,72;0,78;0,72;0,61;0,72;0,67;0,72;0,72;0,67;0,3;0,74;0,89;0,74;0,67;0,98;0,51;59;46,01;31,91;10,18;10,92;10,93
